date,price,house_id,id
2014-10-13,221900.0,7129300520,1
2014-12-09,538000.0,6414100192,2
2015-02-25,180000.0,5631500400,3
2014-12-09,604000.0,2487200875,4
2015-02-18,510000.0,1954400510,5
2014-05-12,1230000.0,7237550310,6
2014-06-27,257500.0,1321400060,7
2015-01-15,291850.0,2008000270,8
2015-04-15,229500.0,2414600126,9
2015-03-12,323000.0,3793500160,10
2015-04-03,662500.0,1736800520,11
2014-05-27,468000.0,9212900260,12
2014-05-28,310000.0,114101516,13
2014-10-07,400000.0,6054650070,14
2015-03-12,530000.0,1175000570,15
2015-01-24,650000.0,9297300055,16
2014-07-31,395000.0,1875500060,17
2014-05-29,485000.0,6865200140,18
2014-12-05,189000.0,16000397,19
2015-04-24,230000.0,7983200060,20
2014-05-14,385000.0,6300500875,21
2014-08-26,2000000.0,2524049179,22
2014-07-03,285000.0,7137970340,23
2014-05-16,252700.0,8091400200,24
2014-11-20,329000.0,3814700200,25
2014-11-03,233000.0,1202000200,26
2014-06-26,937000.0,1794500383,27
2014-12-01,667000.0,3303700376,28
2014-06-24,438000.0,5101402488,29
2015-03-02,719000.0,1873100390,30
2014-11-10,580500.0,8562750320,31
2014-12-01,280000.0,2426039314,32
2014-06-24,687500.0,461000390,33
2014-11-10,535000.0,7589200193,34
2014-12-03,322500.0,7955080270,35
2014-06-13,696000.0,9547205180,36
2014-05-28,550000.0,9435300030,37
2014-12-30,640000.0,2768000400,38
2015-02-13,240000.0,7895500070,39
2014-06-20,605000.0,2078500320,40
2014-07-15,625000.0,5547700270,41
2014-08-11,775000.0,7766200013,42
2014-07-07,861990.0,7203220400,43
2014-10-28,685000.0,9270200160,44
2014-07-29,309000.0,1432701230,45
2014-07-18,488000.0,8035350320,46
2015-03-25,210490.0,8945200830,47
2014-07-16,785000.0,4178300310,48
2015-04-28,450000.0,9215400105,49
2015-03-11,1350000.0,822039084,50
2014-09-16,228000.0,5245600105,51
2015-02-17,345000.0,7231300125,52
2014-12-31,600000.0,7518505990,53
2015-02-05,585000.0,3626039271,54
2015-03-03,920000.0,4217401195,55
2014-05-12,885000.0,9822700295,56
2014-08-19,292500.0,9478500640,57
2015-04-07,301000.0,2799800710,58
2014-08-27,951000.0,7922800400,59
2015-02-23,430000.0,8079040320,60
2014-12-10,650000.0,1516000055,61
2014-08-28,289000.0,9558200045,62
2014-10-21,505000.0,5072410070,63
2014-12-07,549000.0,9528102996,64
2014-06-03,425000.0,1189001180,65
2014-11-20,317625.0,3253500160,66
2014-09-09,975000.0,3394100030,67
2014-10-09,287000.0,3717000160,68
2014-08-25,204000.0,1274500060,69
2014-06-12,1330000.0,1802000060,70
2014-09-12,1040000.0,1525059190,71
2015-01-05,325000.0,1049000060,72
2014-06-10,571000.0,8820901275,73
2014-07-10,360000.0,5416510140,74
2015-03-16,349000.0,3444100400,75
2014-11-05,832500.0,3276920270,76
2014-10-13,380000.0,4036801170,77
2015-04-20,480000.0,2391600320,78
2014-06-09,410000.0,6300000287,79
2015-03-23,720000.0,1531000030,80
2014-12-02,390000.0,5104520400,81
2014-12-22,360000.0,7437100340,82
2014-10-28,355000.0,9418400240,83
2015-01-28,356000.0,1523059105,84
2014-06-02,315000.0,1133000671,85
2014-11-14,940000.0,4232902595,86
2014-11-03,305000.0,2599001200,87
2014-06-18,461000.0,3342103156,88
2014-05-19,215000.0,1332700270,89
2014-09-04,335000.0,3869900162,90
2014-05-22,243500.0,2791500270,91
2015-03-11,1100000.0,5036300431,92
2015-02-26,153000.0,4168000060,93
2014-07-25,430000.0,6021501535,94
2014-12-23,700000.0,6021501535,95
2014-09-08,905000.0,1483300570,96
2015-03-30,247500.0,3422049190,97
2014-09-12,199000.0,1099611230,98
2014-07-11,314000.0,722079104,99
2014-05-16,437500.0,7338200240,100
2014-06-11,850830.0,1952200240,101
2014-10-27,555000.0,5200100125,102
2014-12-12,699950.0,7214720075,103
2014-10-07,1090000.0,2450000295,104
2014-09-24,290000.0,6197800045,105
2015-04-02,375000.0,1328310370,106
2014-05-23,460000.0,546000875,107
2014-07-23,188500.0,3530510041,108
2015-03-05,680000.0,1853000400,109
2014-08-27,470000.0,3134100116,110
2014-07-25,597750.0,9545230140,111
2015-03-04,570000.0,3362400511,112
2014-09-16,272500.0,2525310310,113
2014-11-24,329950.0,6126500060,114
2014-10-28,480000.0,8961960160,115
2014-11-21,740500.0,3626039325,116
